,student_id,activity_details_activity_inference_min,activity_details_activity_inference_max,activity_details_activity_inference_mean,activity_details_activity_inference_median,activity_details_activity_inference_sum,activity_details_time_delta,activity_details_count,audio_details_audio_activity_inference_min,audio_details_audio_activity_inference_max,audio_details_audio_activity_inference_mean,audio_details_audio_activity_inference_median,audio_details_audio_activity_inference_sum,audio_details_time_delta,audio_details_count,call_log_details_call_recorded_min,call_log_details_call_recorded_max,call_log_details_call_recorded_mean,call_log_details_call_recorded_median,call_log_details_call_recorded_sum,call_log_details_time_delta,call_log_details_count,conversation_details_conv_duration_min_min,conversation_details_conv_duration_min_max,conversation_details_conv_duration_min_mean,conversation_details_conv_duration_min_median,conversation_details_conv_duration_min_sum,conversation_details_time_delta,conversation_details_count,dark_details_dark_duration_min_min,dark_details_dark_duration_min_max,dark_details_dark_duration_min_mean,dark_details_dark_duration_min_median,dark_details_dark_duration_min_sum,dark_details_time_delta,dark_details_count,dinning_details_venue_id_min,dinning_details_meal_type_id_min,dinning_details_venue_id_max,dinning_details_meal_type_id_max,dinning_details_venue_id_mean,dinning_details_meal_type_id_mean,dinning_details_venue_id_median,dinning_details_meal_type_id_median,dinning_details_venue_id_sum,dinning_details_meal_type_id_sum,dinning_details_time_delta,dinning_details_count,gps_details_latitude_min,gps_details_longitude_min,gps_details_latitude_max,gps_details_longitude_max,gps_details_latitude_mean,gps_details_longitude_mean,gps_details_latitude_median,gps_details_longitude_median,gps_details_latitude_sum,gps_details_longitude_sum,gps_details_time_delta,gps_details_count,phonecharge_details_phonecharge_duration_min_min,phonecharge_details_phonecharge_duration_min_max,phonecharge_details_phonecharge_duration_min_mean,phonecharge_details_phonecharge_duration_min_median,phonecharge_details_phonecharge_duration_min_sum,phonecharge_details_time_delta,phonecharge_details_count,phonelock_details_phonelock_duration_min_min,phonelock_details_phonelock_duration_min_max,phonelock_details_phonelock_duration_min_mean,phonelock_details_phonelock_duration_min_median,phonelock_details_phonelock_duration_min_sum,phonelock_details_time_delta,phonelock_details_count,sleep_details_hours_slept_min,sleep_details_sleep_rating_min,sleep_details_hours_slept_max,sleep_details_sleep_rating_max,sleep_details_hours_slept_mean,sleep_details_sleep_rating_mean,sleep_details_hours_slept_median,sleep_details_sleep_rating_median,sleep_details_hours_slept_sum,sleep_details_sleep_rating_sum,sleep_details_time_delta,sleep_details_count,sms_details_sms_instance_min,sms_details_sms_instance_max,sms_details_sms_instance_mean,sms_details_sms_instance_median,sms_details_sms_instance_sum,sms_details_time_delta,sms_details_count,stress_level
0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,2.0,2.0,2.0,2.0,0.0,1,1.0,1.0,1.0,1.0,6.0,15811.0,6,6.0,6.0,6.0,6.0,6.0,0.0,1,478.0,478.0,478.0,478.0,478.0,0.0,1,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,0.0,1,43.7066671,-72.2890974,43.7066671,-72.2890974,43.7066671,-72.2890974,43.7066671,-72.2890974,43.7066671,-72.2890974,0.0,1,467.0,467.0,467.0,467.0,467.0,0.0,1,465.0,465.0,465.0,465.0,465.0,0.0,1,7.0,2.0,7.0,2.0,7.0,2.0,7.0,2.0,7.0,2.0,0.0,1,1.0,1.0,1.0,1.0,6.0,15811.0,6,0.0
1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,2.0,2.0,2.0,2.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,1,6.0,6.0,6.0,6.0,6.0,0.0,1,478.0,478.0,478.0,478.0,478.0,0.0,1,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,0.0,1,43.7066671,-72.2890974,43.7066671,-72.2890974,43.7066671,-72.2890974,43.7066671,-72.2890974,43.7066671,-72.2890974,0.0,1,467.0,467.0,467.0,467.0,467.0,0.0,1,465.0,465.0,465.0,465.0,465.0,0.0,1,7.0,2.0,7.0,2.0,7.0,2.0,7.0,2.0,7.0,2.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,1,2.0
2,1,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,2.0,2.0,2.0,2.0,0.0,1,1.0,1.0,1.0,1.0,2.0,394.0,2,6.0,6.0,6.0,6.0,6.0,0.0,1,478.0,478.0,478.0,478.0,478.0,0.0,1,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,0.0,1,43.7066671,-72.2890974,43.7066671,-72.2890974,43.7066671,-72.2890974,43.7066671,-72.2890974,43.7066671,-72.2890974,0.0,1,467.0,467.0,467.0,467.0,467.0,0.0,1,465.0,465.0,465.0,465.0,465.0,0.0,1,7.0,2.0,7.0,2.0,7.0,2.0,7.0,2.0,7.0,2.0,0.0,1,1.0,1.0,1.0,1.0,2.0,394.0,2,3.0
3,1,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,2.0,2.0,2.0,2.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,1,6.0,6.0,6.0,6.0,6.0,0.0,1,478.0,478.0,478.0,478.0,478.0,0.0,1,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,0.0,1,43.7066671,-72.2890974,43.7066671,-72.2890974,43.7066671,-72.2890974,43.7066671,-72.2890974,43.7066671,-72.2890974,0.0,1,467.0,467.0,467.0,467.0,467.0,0.0,1,465.0,465.0,465.0,465.0,465.0,0.0,1,7.0,2.0,7.0,2.0,7.0,2.0,7.0,2.0,7.0,2.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,1,2.0
4,1,0.0,3.0,0.01195219123505976,0.0,3.0,2646.0,251,0.0,2.0,0.8614982578397212,1.0,1978.0,2745.0,2296,1.0,1.0,1.0,1.0,67.0,235336.0,67,6.0,6.0,6.0,6.0,12.0,902.0,2,478.0,478.0,478.0,478.0,956.0,433.0,2,1.0,1.0,7.0,4.0,5.333333333333333,3.0,6.0,4.0,32.0,18.0,223635.0,6,43.706637,-72.2890974,43.70667831,-72.28901794,43.70666518,-72.28904992,43.706672705,-72.28904216999999,174.82666072,-289.15619968,2536.0,4,467.0,467.0,467.0,467.0,934.0,504.0,2,465.0,465.0,465.0,465.0,930.0,384.0,2,7.0,2.0,7.0,2.0,7.0,2.0,7.0,2.0,7.0,2.0,0.0,1,1.0,1.0,1.0,1.0,67.0,235336.0,67,3.0
5,1,0.0,3.0,0.12898780403775925,0.0,1872.0,155244.0,14513,0.0,2.0,0.7854636142347267,1.0,52597.0,155244.0,66963,1.0,1.0,1.0,1.0,44.0,152980.0,44,0.0,54.0,11.83673469387755,6.0,580.0,126415.0,49,62.0,252.0,131.75,139.0,1054.0,117636.0,8,2.0,1.0,7.0,4.0,4.6,2.2,5.0,1.0,23.0,11.0,127858.0,5,43.7016101,-72.294811,43.7087856,-72.2836284,43.70615493762295,-72.28890856254104,43.7066796,-72.28908575,5332.15090239,-8819.246844630006,154180.0,122,467.0,467.0,467.0,467.0,467.0,0.0,1,68.0,132.0,103.57142857142857,110.0,725.0,119604.0,7,7.0,1.0,10.0,2.0,8.5,1.5,8.5,1.5,34.0,6.0,155244.0,4,1.0,1.0,1.0,1.0,44.0,152980.0,44,3.0
6,1,0.0,3.0,0.2176452965847813,0.0,1453.0,71405.0,6676,0.0,2.0,0.889953816357948,1.0,35842.0,71536.0,40274,1.0,1.0,1.0,1.0,21.0,69716.0,21,1.0,74.0,15.441176470588236,6.5,525.0,71169.0,34,68.0,494.0,181.16666666666666,136.0,1087.0,70552.0,6,2.0,1.0,5.0,4.0,3.5,2.25,3.5,2.0,14.0,9.0,25416.0,4,43.7016032,-72.2948453,43.7087418,-72.2837056,43.70594484366668,-72.2888887325,43.70666185,-72.28904535000001,2622.356690620001,-4337.33332395,70916.0,60,486.0,486.0,486.0,486.0,972.0,55175.0,2,72.0,485.0,227.8,240.0,1139.0,68881.0,5,7.0,1.0,7.0,1.0,7.0,1.0,7.0,1.0,14.0,2.0,9902.0,2,1.0,1.0,1.0,1.0,21.0,69716.0,21,0.0
7,1,0.0,3.0,0.24074074074074073,0.0,390.0,17120.0,1620,0.0,2.0,1.0787225548902195,1.0,13511.0,17253.0,12525,1.0,1.0,1.0,1.0,6.0,14969.0,6,1.0,51.0,15.928571428571429,10.0,223.0,16736.0,14,142.0,142.0,142.0,142.0,142.0,0.0,1,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,0.0,1,43.7017642,-72.2892416,43.7067364,-72.2882153,43.70633506428571,-72.28904831428572,43.70668335,-72.28911455,611.8886908999999,-1012.0466764,16169.0,14,486.0,486.0,486.0,486.0,486.0,0.0,1,116.0,148.0,126.66666666666667,116.0,380.0,11332.0,3,7.0,1.0,7.0,1.0,7.0,1.0,7.0,1.0,7.0,1.0,0.0,1,1.0,1.0,1.0,1.0,6.0,14969.0,6,4.0
8,1,0.0,3.0,0.11196592938590466,0.0,815.0,78705.0,7279,0.0,2.0,0.7114618675320844,1.0,28938.0,78868.0,40674,1.0,1.0,1.0,1.0,23.0,75837.0,23,1.0,123.0,16.76,8.0,419.0,78068.0,25,71.0,582.0,190.83333333333334,123.5,1145.0,71243.0,6,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,2.0,8.0,37121.0,2,43.7040657,-72.3004918,43.70694356,-72.28892482,43.706451109230755,-72.29015482553847,43.7066789,-72.289122,2840.919322099999,-4698.86006366,78237.0,65,582.0,582.0,582.0,582.0,1164.0,59913.0,2,85.0,581.0,238.33333333333334,207.0,1430.0,71699.0,6,8.0,1.0,8.0,1.0,8.0,1.0,8.0,1.0,16.0,2.0,10564.0,2,1.0,1.0,1.0,1.0,23.0,75837.0,23,0.0
9,1,0.0,3.0,0.030612244897959183,0.0,213.0,73297.0,6958,0.0,2.0,0.5475466782457664,0.0,16393.0,73321.0,29939,1.0,1.0,1.0,1.0,21.0,69958.0,21,1.0,55.0,12.409090909090908,5.5,273.0,67118.0,22,150.0,393.0,312.0,393.0,936.0,67265.0,3,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,0.0,1,43.70659035,-72.2894809,43.7069021,-72.2889631,43.70668995596773,-72.28910514080647,43.706672350000005,-72.2890801,2709.8147772699995,-4481.924518730001,72358.0,62,72.0,594.0,246.0,72.0,738.0,52204.0,3,71.0,594.0,305.6,319.0,1528.0,71746.0,5,8.0,1.0,8.0,1.0,8.0,1.0,8.0,1.0,16.0,2.0,11.0,2,1.0,1.0,1.0,1.0,21.0,69958.0,21,0.0
